"sale_date";"sale_time";"customer_id";"gender";"age";"category";"quantiy";"price_per_unit";"cogs";"total_sale"
"2022-10-27";"10:12:00";25;"Male";0;"Clothing";1;500;145;500
"2022-08-22";"10:04:00";77;"Female";0;"Electronics";4;30;10;120
"2022-05-24";"07:06:00";94;"Male";0;"Clothing";1;500;185;500
"2022-09-16";"06:38:00";116;"Male";0;"Clothing";3;25;11;75
"2022-09-28";"09:34:00";101;"Male";0;"Electronics";3;25;8;75
"2022-04-16";"11:47:00";147;"Male";40;"Clothing";3;25;12;75
"2022-02-08";"07:01:00";77;"Male";51;"Electronics";3;25;8;75
"2022-11-22";"08:29:00";15;"Male";60;"Clothing";2;300;126;600
"2022-09-02";"06:16:00";145;"Female";45;"Electronics";1;25;9;25
"2022-04-04";"11:19:00";72;"Male";60;"Clothing";2;300;153;600
"2022-11-17";"11:21:00";115;"Female";45;"Electronics";1;25;9;25
"2022-04-11";"08:58:00";85;"Male";63;"Clothing";4;50;16;200
"2022-03-12";"11:21:00";57;"Male";63;"Clothing";4;50;18;200
"2022-02-13";"06:44:00";128;"Male";31;"Electronics";4;50;17;200
"2022-03-12";"08:54:00";77;"Female";27;"Clothing";1;30;16;30
"2022-02-12";"08:28:00";23;"Male";31;"Electronics";4;50;28;200
"2022-02-28";"08:58:00";72;"Female";27;"Clothing";1;30;14;30
"2022-03-05";"07:37:00";85;"Female";57;"Beauty";4;25;13;100
"2022-08-26";"08:59:00";64;"Female";18;"Beauty";0;0;0;0
"2022-07-05";"11:33:00";42;"Female";33;"Clothing";0;0;0;0
"2022-02-02";"09:51:00";137;"Female";57;"Beauty";0;0;0;0
"2022-09-23";"08:08:00";71;"Female";18;"Beauty";3;30;15;90
"2022-06-13";"07:59:00";88;"Female";33;"Clothing";3;30;11;90
"2022-06-14";"07:08:00";114;"Male";50;"Electronics";1;30;8;30
"2022-03-06";"11:13:00";24;"Male";38;"Electronics";2;300;75;600
"2022-03-13";"07:52:00";135;"Female";19;"Clothing";4;300;75;1200
"2022-03-21";"08:38:00";94;"Male";53;"Electronics";4;25;7;100
"2022-01-26";"07:59:00";80;"Male";50;"Electronics";1;30;16;30
"2022-11-13";"10:06:00";80;"Male";38;"Electronics";2;300;126;600
"2022-11-23";"09:29:00";22;"Female";19;"Clothing";4;300;147;1200
"2022-09-29";"11:00:00";62;"Male";53;"Electronics";4;25;7;100
"2022-07-11";"07:33:00";59;"Female";50;"Beauty";1;500;275;500
"2022-04-06";"08:38:00";62;"Female";43;"Beauty";3;300;87;900
"2022-04-16";"11:43:00";39;"Male";34;"Beauty";3;25;11;75
"2022-06-27";"06:50:00";58;"Female";24;"Beauty";3;25;11;75
"2022-06-11";"10:19:00";44;"Female";50;"Beauty";1;500;155;500
"2022-02-08";"07:47:00";41;"Female";43;"Beauty";3;300;162;900
"2022-10-03";"10:10:00";90;"Male";34;"Beauty";3;25;11;75
"2022-07-31";"09:52:00";85;"Female";24;"Beauty";3;25;9;75
"2022-04-03";"10:52:00";15;"Male";46;"Beauty";2;30;17;60
"2022-12-25";"07:52:00";152;"Male";53;"Clothing";1;500;200;500
"2022-11-30";"11:49:00";149;"Male";27;"Electronics";4;25;14;100
"2022-09-23";"09:46:00";3;"Male";46;"Beauty";2;30;12;60
"2022-12-18";"08:22:00";54;"Male";53;"Clothing";1;500;265;500
"2022-03-26";"10:54:00";80;"Male";27;"Electronics";4;25;7;100
"2022-07-01";"11:50:00";75;"Female";42;"Electronics";4;500;210;2000
"2022-08-07";"07:54:00";55;"Female";34;"Beauty";4;500;260;2000
"2022-03-09";"11:53:00";94;"Female";42;"Electronics";4;500;200;2000
"2022-10-26";"09:37:00";47;"Female";34;"Beauty";4;500;250;2000
"2022-05-18";"07:11:00";8;"Male";64;"Clothing";4;30;13;120
"2022-11-12";"10:05:00";33;"Female";59;"Clothing";1;25;11;25
"2022-05-10";"11:52:00";20;"Female";39;"Beauty";1;500;150;500
"2022-08-01";"09:35:00";65;"Female";49;"Clothing";2;500;200;1000
"2022-02-04";"10:26:00";147;"Male";64;"Clothing";4;30;11;120
"2022-02-14";"07:11:00";61;"Female";59;"Clothing";1;25;7;25
"2022-09-17";"07:38:00";129;"Female";39;"Beauty";1;500;165;500
"2022-09-14";"08:28:00";29;"Female";49;"Clothing";2;500;145;1000
"2022-08-31";"10:15:00";88;"Female";42;"Clothing";1;30;16;30
"2022-01-07";"10:00:00";72;"Female";42;"Clothing";1;30;14;30
"2022-08-12";"10:39:00";78;"Male";26;"Clothing";3;25;9;75
"2022-12-17";"07:25:00";86;"Male";24;"Beauty";1;50;20;50
"2022-10-04";"07:03:00";132;"Male";26;"Clothing";3;25;11;75
"2022-10-30";"08:00:00";98;"Male";24;"Beauty";1;50;15;50
"2022-07-17";"09:47:00";69;"Female";42;"Beauty";1;30;8;30
"2022-03-19";"09:36:00";86;"Female";54;"Beauty";2;30;16;60
"2022-03-19";"06:08:00";37;"Female";38;"Electronics";4;500;195;2000
"2022-12-18";"06:12:00";144;"Female";42;"Beauty";1;30;11;30
"2022-05-16";"06:28:00";51;"Female";54;"Beauty";2;30;9;60
"2022-11-22";"08:25:00";18;"Female";38;"Electronics";4;500;220;2000
"2022-04-14";"10:48:00";132;"Female";53;"Electronics";1;300;138;300
"2022-06-10";"10:42:00";25;"Male";41;"Electronics";1;25;14;25
"2022-04-19";"06:16:00";31;"Female";53;"Electronics";1;300;129;300
"2022-05-30";"07:42:00";104;"Male";41;"Electronics";1;25;10;25
"2022-09-17";"10:33:00";37;"Female";54;"Electronics";2;500;255;1000
"2022-01-02";"10:53:00";28;"Female";22;"Clothing";4;500;200;2000
"2022-04-08";"10:17:00";52;"Female";36;"Electronics";4;30;17;120
"2022-05-16";"06:36:00";143;"Female";54;"Electronics";2;500;125;1000
"2022-04-15";"07:01:00";138;"Female";22;"Clothing";4;500;205;2000
"2022-01-08";"07:35:00";139;"Female";36;"Electronics";4;30;9;120
"2022-11-15";"06:34:00";7;"Male";49;"Clothing";4;25;9;100
"2022-12-26";"09:15:00";77;"Female";46;"Beauty";4;500;275;2000
"2022-10-31";"06:18:00";122;"Male";51;"Beauty";3;50;21;150
"2022-04-14";"10:38:00";49;"Male";49;"Clothing";4;25;14;100
"2022-03-16";"09:08:00";81;"Female";46;"Beauty";4;500;155;2000
"2022-05-27";"07:40:00";146;"Male";51;"Beauty";3;50;22;150
"2022-08-25";"09:03:00";132;"Male";49;"Electronics";1;50;16;50
"2022-08-05";"09:04:00";106;"Male";49;"Electronics";1;50;24;50
"2022-05-02";"09:59:00";27;"Male";28;"Clothing";4;30;12;120
"2022-01-21";"08:22:00";97;"Female";29;"Beauty";3;300;150;900
"2022-10-13";"10:22:00";5;"Female";27;"Beauty";1;50;26;50
"2022-04-08";"08:50:00";116;"Female";56;"Beauty";3;500;235;1500
"2022-04-05";"11:56:00";26;"Male";28;"Clothing";4;30;9;120
"2022-08-15";"10:49:00";136;"Female";29;"Beauty";3;300;114;900
"2022-09-15";"06:27:00";118;"Female";27;"Beauty";1;50;14;50
"2022-10-10";"08:51:00";28;"Female";56;"Beauty";3;500;190;1500
"2022-01-05";"09:59:00";85;"Male";53;"Clothing";2;30;8;60
"2022-12-18";"08:30:00";97;"Male";29;"Clothing";4;25;10;100
"2022-03-11";"10:18:00";40;"Female";23;"Beauty";3;25;11;75
"2022-03-06";"07:11:00";146;"Male";53;"Clothing";2;30;15;60
"2022-08-28";"08:57:00";87;"Male";29;"Clothing";4;25;10;100
"2022-09-15";"06:50:00";62;"Female";23;"Beauty";3;25;13;75
"2022-12-26";"11:03:00";111;"Male";47;"Clothing";3;300;150;900
"2022-10-12";"10:52:00";78;"Male";29;"Electronics";3;30;17;90
"2022-01-05";"08:11:00";46;"Female";20;"Electronics";1;30;10;30
"2022-05-27";"09:23:00";82;"Male";47;"Clothing";3;300;123;900
"2022-06-23";"07:10:00";101;"Male";29;"Electronics";3;30;14;90
"2022-06-15";"09:47:00";56;"Female";20;"Electronics";1;30;11;30
"2022-01-08";"08:46:00";24;"Male";32;"Clothing";2;300;135;600
"2022-05-17";"07:47:00";15;"Male";32;"Clothing";2;300;132;600
"2022-01-02";"09:44:00";143;"Male";63;"Beauty";1;50;15;50
"2022-05-04";"07:54:00";117;"Male";22;"Electronics";3;30;12;90
"2022-10-19";"06:11:00";13;"Male";51;"Electronics";1;500;125;500
"2022-10-27";"07:42:00";52;"Female";46;"Electronics";4;25;8;100
"2022-12-07";"06:08:00";104;"Male";63;"Beauty";1;50;21;50
"2022-08-25";"08:02:00";144;"Male";22;"Electronics";3;30;12;90
"2022-11-14";"09:56:00";10;"Male";51;"Electronics";1;500;250;500
"2022-01-27";"10:39:00";119;"Female";46;"Electronics";4;25;9;100
"2022-03-10";"10:13:00";132;"Female";23;"Electronics";2;500;275;1000
"2022-01-08";"09:41:00";138;"Female";19;"Electronics";4;50;27;200
"2022-08-26";"08:18:00";15;"Male";24;"Clothing";3;300;156;900
"2022-04-04";"06:44:00";87;"Female";23;"Electronics";2;500;220;1000
"2022-08-08";"08:57:00";7;"Female";19;"Electronics";4;50;24;200
"2022-08-02";"08:27:00";115;"Male";24;"Clothing";3;300;111;900
"2022-09-19";"11:31:00";87;"Male";25;"Clothing";4;500;250;2000
"2022-04-20";"08:35:00";57;"Female";28;"Electronics";4;300;159;1200
"2022-07-04";"10:14:00";18;"Female";43;"Clothing";3;500;270;1500
"2022-01-01";"08:09:00";71;"Male";25;"Clothing";4;500;145;2000
"2022-11-02";"11:55:00";102;"Female";28;"Electronics";4;300;84;1200
"2022-06-14";"07:36:00";42;"Female";43;"Clothing";3;500;185;1500
"2022-04-08";"10:05:00";61;"Male";35;"Electronics";4;300;138;1200
"2022-01-15";"11:18:00";61;"Female";64;"Clothing";1;25;12;25
"2022-03-03";"10:59:00";49;"Male";51;"Electronics";3;50;16;150
"2022-11-09";"09:49:00";2;"Male";35;"Electronics";4;300;114;1200
"2022-02-20";"07:40:00";106;"Female";64;"Clothing";1;25;10;25
"2022-12-08";"10:10:00";125;"Male";51;"Electronics";3;50;21;150
"2022-10-06";"09:18:00";75;"Female";21;"Clothing";4;300;78;1200
"2022-09-19";"07:53:00";81;"Male";22;"Beauty";1;30;13;30
"2022-12-31";"11:14:00";62;"Female";21;"Clothing";4;300;102;1200
"2022-01-12";"11:04:00";121;"Male";22;"Beauty";1;30;14;30
"2022-04-11";"08:54:00";105;"Female";50;"Beauty";2;500;165;1000
"2022-02-02";"09:23:00";2;"Female";47;"Beauty";4;30;11;120
"2022-02-23";"09:20:00";48;"Female";50;"Beauty";2;500;215;1000
"2022-05-27";"08:45:00";117;"Female";47;"Beauty";4;30;9;120
"2022-02-03";"11:49:00";127;"Male";57;"Electronics";2;25;6;50
"2022-08-14";"11:51:00";10;"Male";52;"Clothing";1;30;9;30
"2022-10-06";"08:15:00";21;"Female";54;"Electronics";4;300;99;1200
"2022-06-01";"07:28:00";76;"Female";47;"Clothing";1;25;9;25
"2022-01-27";"06:07:00";43;"Male";34;"Clothing";3;50;19;150
"2022-05-01";"07:52:00";8;"Female";18;"Electronics";4;30;9;120
"2022-12-01";"06:58:00";33;"Female";25;"Beauty";4;50;13;200
"2022-05-27";"10:53:00";1;"Male";54;"Beauty";1;30;15;30
"2022-08-04";"10:26:00";56;"Male";57;"Electronics";2;25;11;50
"2022-09-21";"07:07:00";55;"Male";52;"Clothing";1;30;12;30
"2022-11-01";"11:38:00";151;"Female";54;"Electronics";4;300;165;1200
"2022-01-02";"06:23:00";69;"Female";47;"Clothing";1;25;7;25
"2022-10-26";"07:15:00";155;"Male";34;"Clothing";3;50;17;150
"2022-12-10";"08:17:00";93;"Female";18;"Electronics";4;30;12;120
"2022-07-16";"06:01:00";66;"Female";25;"Beauty";4;50;27;200
"2022-12-11";"06:05:00";88;"Male";54;"Beauty";1;30;11;30
"2022-09-03";"08:05:00";68;"Male";31;"Clothing";3;50;19;150
"2022-08-12";"07:14:00";150;"Female";43;"Beauty";1;25;13;25
"2022-11-05";"11:49:00";95;"Female";23;"Beauty";1;300;123;300
"2022-09-07";"09:21:00";134;"Female";48;"Electronics";3;50;17;150
"2022-08-12";"09:29:00";76;"Male";31;"Clothing";3;50;17;150
"2022-05-23";"08:05:00";146;"Female";43;"Beauty";1;25;6;25
"2022-08-07";"07:42:00";144;"Female";23;"Beauty";1;300;90;300
"2022-12-29";"11:53:00";123;"Female";48;"Electronics";3;50;27;150
"2022-10-29";"09:32:00";116;"Male";57;"Clothing";2;50;18;100
"2022-06-19";"11:45:00";27;"Female";24;"Beauty";3;500;140;1500
"2022-02-12";"08:44:00";87;"Female";64;"Electronics";1;300;93;300
"2022-01-05";"10:51:00";143;"Male";57;"Beauty";4;50;20;200
"2022-01-01";"11:34:00";25;"Male";57;"Clothing";2;50;24;100
"2022-03-18";"10:53:00";60;"Female";24;"Beauty";3;500;145;1500
"2022-03-28";"06:22:00";7;"Female";64;"Electronics";1;300;141;300
"2022-06-19";"11:32:00";60;"Male";57;"Beauty";4;50;13;200
"2022-11-12";"09:17:00";129;"Male";43;"Clothing";4;50;21;200
"2022-10-26";"06:09:00";50;"Female";43;"Electronics";2;25;8;50
"2022-05-06";"11:07:00";98;"Female";46;"Electronics";4;25;10;100
"2022-07-26";"08:35:00";46;"Female";35;"Electronics";3;25;14;75
"2022-12-16";"11:43:00";145;"Male";43;"Clothing";4;50;18;200
"2022-02-04";"10:02:00";147;"Female";43;"Electronics";2;25;7;50
"2022-12-18";"08:04:00";78;"Female";46;"Electronics";4;25;14;100
"2022-08-05";"10:46:00";63;"Female";35;"Electronics";3;25;12;75
"2022-06-21";"08:17:00";44;"Female";58;"Clothing";2;300;135;600
"2022-10-21";"07:44:00";72;"Female";58;"Clothing";2;300;75;600
"2022-10-20";"10:17:00";142;"Female";38;"Electronics";3;500;200;1500
"2022-12-15";"09:06:00";146;"Male";25;"Electronics";1;300;84;300
"2022-11-08";"08:05:00";134;"Male";62;"Beauty";2;50;13;100
"2022-01-10";"09:24:00";49;"Female";38;"Electronics";3;500;140;1500
"2022-09-14";"10:11:00";136;"Male";25;"Electronics";1;300;111;300
"2022-03-29";"08:41:00";37;"Male";62;"Beauty";2;50;21;100
"2022-08-16";"08:33:00";28;"Male";28;"Electronics";3;30;10;90
"2022-09-05";"06:54:00";38;"Male";59;"Clothing";2;500;215;1000
"2022-01-29";"08:53:00";46;"Male";40;"Clothing";1;25;8;25
"2022-10-13";"08:45:00";136;"Male";61;"Electronics";2;500;250;1000
"2022-08-16";"11:42:00";139;"Male";49;"Beauty";4;25;7;100
"2022-05-15";"09:29:00";36;"Male";28;"Electronics";3;30;14;90
"2022-04-10";"10:01:00";112;"Male";59;"Clothing";2;500;130;1000
"2022-08-09";"10:05:00";61;"Male";40;"Clothing";1;25;8;25
"2022-02-25";"07:05:00";55;"Male";61;"Electronics";2;500;215;1000
"2022-12-21";"06:39:00";5;"Male";49;"Beauty";4;25;9;100
"2022-10-29";"08:50:00";20;"Female";18;"Clothing";1;500;190;500
"2022-11-23";"06:07:00";111;"Female";18;"Clothing";1;500;245;500
"2022-03-27";"10:40:00";55;"Male";35;"Beauty";3;500;180;1500
"2022-04-21";"11:55:00";45;"Male";21;"Beauty";4;500;215;2000
"2022-01-24";"10:46:00";15;"Female";63;"Clothing";3;25;10;75
"2022-10-01";"10:01:00";120;"Male";30;"Beauty";1;25;13;25
"2022-05-11";"11:31:00";50;"Male";35;"Beauty";3;500;145;1500
"2022-09-11";"06:22:00";145;"Male";21;"Beauty";4;500;160;2000
"2022-12-27";"10:16:00";63;"Female";63;"Clothing";3;25;13;75
"2022-04-19";"09:55:00";33;"Male";30;"Beauty";1;25;11;25
"2022-02-27";"10:30:00";151;"Male";23;"Clothing";2;50;24;100
"2022-11-23";"11:27:00";40;"Male";49;"Electronics";1;300;129;300
"2022-04-01";"06:48:00";15;"Male";23;"Clothing";2;50;19;100
"2022-10-03";"07:17:00";42;"Male";49;"Electronics";1;300;108;300
"2022-06-23";"09:01:00";70;"Male";20;"Electronics";3;300;87;900
"2022-03-05";"06:42:00";58;"Male";20;"Electronics";3;300;159;900
"2022-06-25";"10:33:00";82;"Male";19;"Clothing";3;500;180;1500
"2022-12-08";"08:29:00";63;"Male";22;"Clothing";3;300;147;900
"2022-10-10";"06:33:00";111;"Male";20;"Beauty";4;300;141;1200
"2022-08-21";"09:29:00";55;"Male";53;"Electronics";4;500;245;2000
"2022-12-31";"10:21:00";106;"Female";27;"Beauty";4;50;17;200
"2022-09-30";"08:57:00";22;"Female";41;"Clothing";3;30;10;90
"2022-12-12";"07:39:00";52;"Male";19;"Clothing";3;500;200;1500
"2022-02-11";"06:21:00";7;"Male";22;"Clothing";3;300;150;900
"2022-05-15";"08:20:00";88;"Male";20;"Beauty";4;300;90;1200
"2022-12-29";"10:47:00";111;"Male";53;"Electronics";4;500;125;2000
"2022-09-03";"11:07:00";62;"Female";27;"Beauty";4;50;17;200
"2022-07-04";"10:41:00";145;"Female";41;"Clothing";3;30;10;90
"2022-01-09";"08:05:00";3;"Male";23;"Clothing";2;500;270;1000
"2022-11-05";"09:58:00";29;"Male";23;"Clothing";2;500;190;1000
"2022-03-03";"11:07:00";93;"Female";22;"Clothing";1;25;12;25
"2022-12-10";"08:49:00";130;"Male";19;"Beauty";4;500;165;2000
"2022-02-20";"09:08:00";70;"Female";22;"Clothing";1;25;8;25
"2022-05-10";"11:55:00";29;"Male";19;"Beauty";4;500;255;2000
"2022-04-14";"08:26:00";93;"Female";28;"Electronics";1;30;9;30
"2022-08-26";"11:07:00";88;"Male";54;"Clothing";4;25;10;100
"2022-11-07";"07:22:00";119;"Male";60;"Electronics";2;500;190;1000
"2022-06-09";"09:33:00";15;"Female";28;"Electronics";1;30;14;30
"2022-09-13";"08:03:00";120;"Male";54;"Clothing";4;25;7;100
"2022-07-20";"09:52:00";74;"Male";60;"Electronics";2;500;200;1000
"2022-12-27";"10:48:00";147;"Female";43;"Clothing";1;300;84;300
"2022-12-18";"10:01:00";32;"Female";20;"Beauty";1;25;13;25
"2022-11-10";"08:41:00";130;"Male";21;"Clothing";2;30;16;60
"2022-07-14";"11:12:00";102;"Female";43;"Clothing";1;300;120;300
"2022-05-06";"06:52:00";41;"Female";20;"Beauty";1;25;14;25
"2022-01-21";"06:43:00";65;"Male";21;"Clothing";2;30;11;60
"2022-12-27";"11:19:00";148;"Male";30;"Electronics";4;25;11;100
"2022-10-11";"10:36:00";88;"Male";34;"Clothing";2;25;13;50
"2022-03-12";"07:20:00";13;"Female";46;"Beauty";1;25;13;25
"2022-07-06";"11:30:00";107;"Male";52;"Electronics";2;25;13;50
"2022-08-20";"10:25:00";99;"Female";28;"Beauty";3;25;7;75
"2022-01-10";"08:51:00";116;"Male";30;"Electronics";4;25;13;100
"2022-05-10";"07:27:00";74;"Male";34;"Clothing";2;25;11;50
"2022-06-25";"11:18:00";22;"Female";46;"Beauty";1;25;7;25
"2022-12-11";"10:00:00";32;"Male";52;"Electronics";2;25;11;50
"2022-10-24";"08:33:00";23;"Female";28;"Beauty";3;25;9;75
"2022-12-15";"07:11:00";29;"Female";55;"Beauty";1;30;11;30
"2022-06-07";"06:23:00";9;"Female";55;"Beauty";1;30;8;30
"2022-04-29";"09:20:00";138;"Male";53;"Clothing";1;300;102;300
"2022-03-08";"09:52:00";2;"Male";53;"Clothing";4;50;24;200
"2022-07-21";"08:13:00";11;"Male";51;"Beauty";3;500;180;1500
"2022-09-19";"07:33:00";111;"Male";32;"Clothing";4;300;87;1200
"2022-07-10";"07:56:00";68;"Male";53;"Clothing";1;300;150;300
"2022-09-12";"11:54:00";115;"Male";53;"Clothing";4;50;20;200
"2022-11-17";"07:30:00";125;"Male";51;"Beauty";3;500;180;1500
"2022-08-21";"10:53:00";1;"Male";32;"Clothing";4;300;111;1200
"2022-06-10";"11:57:00";112;"Female";61;"Electronics";2;50;28;100
"2022-09-25";"10:09:00";1;"Male";64;"Beauty";1;50;15;50
"2022-04-29";"07:13:00";9;"Male";34;"Beauty";3;500;200;1500
"2022-01-04";"08:02:00";128;"Male";38;"Electronics";3;300;165;900
"2022-04-14";"11:59:00";66;"Female";61;"Electronics";2;50;17;100
"2022-03-19";"09:06:00";30;"Male";64;"Beauty";1;50;13;50
"2022-01-09";"07:31:00";52;"Male";34;"Beauty";3;500;245;1500
"2022-11-22";"06:08:00";6;"Male";38;"Electronics";3;300;129;900
"2022-04-18";"07:22:00";104;"Male";20;"Clothing";2;25;13;50
"2022-01-14";"08:16:00";124;"Male";20;"Clothing";2;25;13;50
"2022-06-24";"10:07:00";104;"Female";26;"Clothing";2;500;135;1000
"2022-01-21";"11:38:00";141;"Female";44;"Electronics";2;300;132;600
"2022-06-27";"09:48:00";57;"Male";24;"Clothing";1;25;7;25
"2022-07-29";"08:48:00";144;"Male";29;"Beauty";4;50;20;200
"2022-03-02";"09:24:00";69;"Female";26;"Clothing";2;500;270;1000
"2022-02-24";"09:29:00";77;"Female";44;"Electronics";2;300;138;600
"2022-10-04";"10:28:00";153;"Male";24;"Clothing";1;25;10;25
"2022-01-16";"11:41:00";113;"Male";29;"Beauty";4;50;16;200
"2022-06-16";"11:58:00";120;"Male";43;"Electronics";4;500;210;2000
"2022-07-06";"10:07:00";70;"Female";32;"Clothing";1;30;16;30
"2022-04-23";"09:43:00";58;"Male";34;"Clothing";2;25;12;50
"2022-10-08";"08:33:00";120;"Female";45;"Beauty";4;25;8;100
"2022-12-26";"07:48:00";87;"Male";43;"Electronics";4;500;170;2000
"2022-07-17";"07:40:00";28;"Female";32;"Clothing";1;30;11;30
"2022-06-30";"11:37:00";93;"Male";34;"Clothing";2;25;14;50
"2022-11-08";"07:07:00";96;"Female";45;"Beauty";4;25;6;100
"2022-12-07";"09:25:00";136;"Female";64;"Beauty";2;30;13;60
"2022-10-14";"06:11:00";120;"Female";60;"Beauty";4;25;12;100
"2022-11-04";"08:35:00";139;"Female";18;"Electronics";1;300;96;300
"2022-01-28";"09:32:00";15;"Female";64;"Beauty";2;30;16;60
"2022-04-20";"08:36:00";53;"Female";60;"Beauty";4;25;9;100
"2022-07-12";"10:55:00";59;"Female";18;"Electronics";1;300;75;300
"2022-07-31";"07:09:00";4;"Male";50;"Beauty";1;300;129;300
"2022-03-05";"06:27:00";134;"Male";50;"Beauty";1;300;75;300
"2022-05-07";"06:44:00";138;"Male";64;"Beauty";1;500;140;500
"2022-08-18";"10:27:00";33;"Female";22;"Electronics";2;25;10;50
"2022-10-19";"06:09:00";88;"Female";31;"Beauty";4;50;13;200
"2022-09-17";"10:10:00";121;"Female";52;"Clothing";4;30;14;120
"2022-12-01";"06:03:00";63;"Female";52;"Electronics";4;25;13;100
"2022-06-29";"11:16:00";47;"Male";64;"Beauty";1;500;240;500
"2022-11-10";"10:34:00";132;"Female";22;"Electronics";2;25;8;50
"2022-02-20";"11:17:00";144;"Female";31;"Beauty";4;50;17;200
"2022-11-09";"07:32:00";148;"Female";52;"Clothing";4;30;11;120
"2022-06-14";"08:10:00";49;"Female";52;"Electronics";4;25;13;100
"2022-04-13";"09:55:00";138;"Female";40;"Beauty";2;500;275;1000
"2022-09-22";"10:49:00";2;"Female";40;"Beauty";2;500;160;1000
"2022-09-19";"09:42:00";55;"Female";36;"Beauty";1;300;111;300
"2022-08-20";"06:25:00";17;"Female";55;"Beauty";4;30;9;120
"2022-02-12";"06:12:00";94;"Female";36;"Beauty";1;300;120;300
"2022-05-11";"07:23:00";14;"Female";55;"Beauty";4;30;14;120
"2022-04-03";"11:57:00";14;"Female";42;"Clothing";4;50;26;200
"2022-11-13";"07:33:00";69;"Female";35;"Clothing";3;25;9;75
"2022-08-21";"06:29:00";138;"Female";20;"Beauty";3;50;23;150
"2022-02-15";"11:50:00";120;"Female";57;"Electronics";4;50;17;200
"2022-08-13";"10:07:00";77;"Female";42;"Clothing";4;50;19;200
"2022-01-20";"10:10:00";138;"Female";35;"Clothing";3;25;7;75
"2022-10-09";"06:22:00";141;"Female";20;"Beauty";3;50;18;150
"2022-05-02";"07:17:00";52;"Female";57;"Electronics";4;50;24;200
"2022-05-21";"11:42:00";30;"Female";54;"Beauty";3;300;114;900
"2022-10-06";"07:06:00";51;"Female";61;"Clothing";3;30;16;90
"2022-11-14";"07:36:00";3;"Male";63;"Clothing";4;500;250;2000
"2022-09-30";"07:28:00";37;"Male";60;"Electronics";2;25;6;50
"2022-08-07";"10:43:00";147;"Female";54;"Beauty";3;300;159;900
"2022-04-29";"06:18:00";135;"Female";61;"Clothing";3;30;14;90
"2022-08-11";"06:39:00";142;"Male";63;"Clothing";4;500;235;2000
"2022-08-14";"08:32:00";94;"Male";60;"Electronics";2;25;9;50
"2022-07-18";"06:06:00";41;"Female";27;"Clothing";1;25;12;25
"2022-06-15";"07:56:00";131;"Female";27;"Clothing";1;25;11;25
"2022-07-02";"07:11:00";5;"Male";26;"Clothing";3;300;126;900
"2022-09-09";"09:04:00";26;"Male";42;"Clothing";4;25;11;100
"2022-09-13";"08:30:00";141;"Female";46;"Clothing";4;50;18;200
"2022-09-08";"08:20:00";68;"Male";26;"Clothing";3;300;111;900
"2022-06-18";"09:31:00";93;"Male";42;"Clothing";4;25;6;100
"2022-03-21";"07:52:00";71;"Female";46;"Clothing";4;50;14;200
"2023-10-26";"08:06:00";59;"Female";30;"Beauty";1;25;11;25
"2023-11-15";"10:00:00";39;"Male";34;"Clothing";3;50;26;150
"2023-01-01";"11:05:00";6;"Female";30;"Beauty";1;25;12;25
